,locationName,categories,locationAddress,locationCity,locationState,locationZip,locationPhone,openTime,Years In Business
1234,Noodle Barn,"['Restaurants', 'Thai Restaurants', 'Asian Restaurants']",707 Centre St,Jamaica Plain,MA,02130,(617) 522-2299,11:30 am - 10:00 pm,5
1235,Townsman,"['Restaurants', 'American Restaurants', 'Family Style Restaurants']",120 Kingston St,Boston,MA,02111,(617) 993-0750,12:00 pm - 9:30 pm,5
1236,Carrot Flower,"['Restaurants', 'American Restaurants']",703 Centre St,Jamaica Plain,MA,02130,(617) 942-8474,8:00 am - 6:00 pm,2
1237,Raglin Rd Inc,"['Restaurants', 'American Restaurants']",60 Franklin St,Boston,MA,02110,(617) 482-6060,11:00 am - 2:00 am,8
1238,Ward 8,"['Restaurants', 'American Restaurants', 'Bars']",90 N Washington St,Boston,MA,02114,(617) 823-4478,11:30 am - 1:00 am,6
1239,Al Capone Pizza,"['Restaurants', 'Pizza', 'Caterers']",82 Summer St,Boston,MA,02110,(617) 426-1800,7:00 am - 7:30 pm,15
1240,Viga Italian Eatery Corporate Office,"['Restaurants', 'Italian Restaurants', 'Seafood Restaurants']",289 Devonshire St,Boston,MA,02110,(617) 542-8442,11:00 am - 3:00 pm,22
1241,Mother Juice,"['Restaurants', 'Seafood Restaurants']",100 Hanover St,Boston,MA,02108,(617) 945-7357,8:00 am - 8:00 pm,
1242,Boston Smoked Fish Co,"['Restaurants', 'Seafood Restaurants', 'American Restaurants']",100 Hanover St,Boston,MA,02108,(617) 973-4909,,
1243,Sei Stelle,"['Restaurants', 'Pizza', 'Sandwich Shops']",289 Causeway St,Boston,MA,02114,(781) 588-3911,11:30 am - 1:00 am,11
1244,Minigrow,"['Restaurants', 'Asian Restaurants', 'Take Out Restaurants']",125 Summer St,Boston,MA,02110,(857) 990-3673,10:30 am - 8:00 pm,
1245,Bel Ari Italian Modern,"['Restaurants', 'Italian Restaurants']",107 South St,Boston,MA,02111,(617) 259-1560,11:30 am - 9:00 pm,
1246,Priel S Restaurant Pizza & More Inc,"['Restaurants', 'Pizza', 'Family Style Restaurants']",11 Blue Hill Ave,Roxbury,MA,02119,(617) 442-2003,,
1247,Super Fusion Express,"['Restaurants', 'Chinese Restaurants', 'Caterers']",777 Centre St,Jamaica Plain,MA,02130,(617) 522-0277,11:30 am - 9:30 pm,19
1248,Kala Thai Cookery,"['Restaurants', 'Thai Restaurants', 'Asian Restaurants']",151 Blackstone St,Boston,MA,02109,(857) 350-4378,11:30 am - 9:30 pm,
1249,Rosso B,"['Restaurants', 'Italian Restaurants']",120 Blackstone St,Boston,MA,02109,(857) 991-1270,10:30 am - 7:00 pm,
1250,Grasshopper Cafe,"['Restaurants', 'American Restaurants', 'Sandwich Shops']",229 Bunker Hill St,Charlestown,MA,02129,(617) 242-0000,6:30 am - 2:00 pm,9
1251,Blackstone Grill,"['Restaurants', 'American Restaurants', 'Bar & Grills']",15 Union St,Boston,MA,02108,(857) 265-3480,11:30 am - 2:00 am,36
1252,Mangia Mangia,"['Restaurants', 'Italian Restaurants']",147 Endicott St,Boston,MA,02113,(617) 377-4875,6:00 am - 3:30 pm,35
1253,Freshii,"['Restaurants', 'American Restaurants']",24 School Street Pl,Roxbury,MA,02119,(857) 233-2674,6:30 am - 4:30 pm,
1254,U Burger,"['Restaurants', 'Hamburgers & Hot Dogs', 'American Restaurants']",16 North St,Boston,MA,02109,(857) 265-3178,,
1255,Scholars American Bistro and Cocktail Lounge,"['Restaurants', 'American Restaurants', 'Bars']",25 School Street Pl,Roxbury,MA,02119,(617) 248-0025,11:00 am - 2:00 am,9
1256,Anthony Curtis Gallery,"['Restaurants', 'Asian Restaurants']",186 South St,Boston,MA,02111,(617) 988-8119,,
1257,Vito's Tavern,"['Restaurants', 'American Restaurants']",54 Salem St,Boston,MA,02113,(857) 277-0229,12:00 am - 12:00 pm,9
1258,La Pastaria,"['Restaurants', 'Italian Restaurants', 'Mediterranean Restaurants']",1 Faneuil Hall Market Pl,Boston,MA,02109,(617) 523-3858,10:30 am - 9:00 pm,20
1259,Bangkok Express,"['Restaurants', 'Thai Restaurants', 'Asian Restaurants']",1 Faneuil Hall Market Pl,Boston,MA,02109,(617) 723-2758,10:00 am - 8:30 pm,15
1260,M & M Ribs,"['Restaurants', 'Barbecue Restaurants', 'Caterers']",155 Southampton St,Boston,MA,02118,(617) 306-0788,,5
1261,Zuma Tex-Mex,"['Restaurants', 'Mexican Restaurants', 'Caterers']",7 N Market St,Boston,MA,02109,(617) 367-9114,11:00 am - 11:00 pm,8
1262,wagamama,"['Restaurants', 'Japanese Restaurants', 'Beverages']",FANEUIL Hall Marketplace,Boston,MA,02109,(617) 278-2121,,
1263,Season Restaurant,"['Restaurants', 'American Restaurants', 'Family Style Restaurants']",51 North St,Boston,MA,02109,(617) 523-4119,,
1264,Pavia,"['Restaurants', 'Italian Restaurants', 'Pizza']",82 Water St,Boston,MA,02109,(617) 720-3000,11:00 am - 3:00 pm,10
1265,Rebecca's Cafe,"['Restaurants', 'Coffee Shops', 'Caterers']","1 Financial Ctr 675 Atlantic Avenue, 2nd Floor",Boston,MA,02110,(857) 383-3464,6:30 am - 4:00 pm,
1266,Cafe Nuovo,"['Restaurants', 'Coffee Shops', 'Italian Restaurants']",76 Salem St,Boston,MA,02113,(857) 753-4615,7:00 am - 2:00 pm,
1267,Tremonte Restaurant North End,"['Restaurants', 'Italian Restaurants', 'Italian Grocery Stores']",76 Salem St,Boston,MA,02113,(617) 530-1955,,2
1268,Crudo,"['Restaurants', 'Sushi Bars', 'Japanese Restaurants']",78 Salem St,Boston,MA,02113,(617) 367-6500,11:30 am - 11:00 pm,5
1269,Channel Fish Processing Company,"['Restaurants', 'Seafood Restaurants', 'Fish & Seafood-Wholesale']",18 Food Mart Rd,Boston,MA,02118,(617) 464-3366,5:00 am - 4:00 pm,35
1270,Piadina Cafe,"['Restaurants', 'Coffee & Espresso Restaurants', 'Coffee Shops']",75 State St,Boston,MA,02109,(617) 936-4453,7:00 am - 5:00 pm,6
1271,Regina Pizzeria,"['Restaurants', 'Pizza', 'American Restaurants']",700 Atlantic Ave,Boston,MA,02111,(617) 261-6600,8:30 am - 9:00 pm,16
1272,Cosi,"['Restaurants', 'Sandwich Shops', 'American Restaurants']",700 Atlantic Ave,Boston,MA,02111,(617) 737-0340,,
1273,State Street Sushi,"['Restaurants', 'Sushi Bars', 'Japanese Restaurants']",92 State St,Boston,MA,02109,(857) 233-5083,12:00 am - 11:59 pm,4
1274,Zumas Tex Mex Cafe,"['Restaurants', 'Mexican Restaurants', 'Latin American Restaurants']",7 Faneuil Hall Market Pl,Boston,MA,02109,(617) 292-7695,11:00 am - 2:00 am,
1275,Chinese Spaghetti Factory,"['Restaurants', 'Chinese Restaurants', 'Asian Restaurants']",83 Newmarket Sq,Boston,MA,02118,(617) 445-7714,7:00 am - 3:00 pm,37
1276,Pasta Pomodoro Inc.,"['Restaurants', 'Italian Restaurants', 'Mediterranean Restaurants']",120 Salem St,Boston,MA,02113,(617) 742-0809,5:00 am - 10:30 pm,
1277,Mercato Del Mare,"['Restaurants', 'Mexican Restaurants', 'Latin American Restaurants']",99 Salem St Ste 1,Boston,MA,02113,(857) 362-7477,10:00 am - 8:00 pm,12
1278,Bailey & Sage,"['Restaurants', 'American Restaurants', 'Sandwich Shops']",103 State St,Boston,MA,02109,(857) 350-3032,7:00 am - 5:00 pm,9
1279,Great Eastern Seafood,"['Restaurants', 'Seafood Restaurants', 'Fish & Seafood-Wholesale']",14 Food Mart Rd,Boston,MA,02118,(617) 428-9400,7:00 am - 5:00 pm,38
1280,Monica's Mercato,"['Restaurants', 'Italian Restaurants', 'Delicatessens']",130 Salem St,Boston,MA,02113,(617) 742-4101,9:30 am - 11:00 pm,25
1281,Beneventos,"['Restaurants', 'Pizza', 'Italian Restaurants']",111 Salem St,Boston,MA,02113,(617) 523-4111,11:30 am - 11:00 pm,10
1282,Cajun & Grill,"['Restaurants', 'Creole & Cajun Restaurants', 'Take Out Restaurants']",720 Atlantic Ave,Boston,MA,02111,(617) 439-8687,10:00 am - 10:00 pm,22
1283,Rigoletto Ristorante,"['Restaurants', 'Italian Restaurants', 'Caterers']",115 Salem St,Boston,MA,02113,(857) 350-3402,12:00 pm - 10:00 pm,7
1284,Seafood USA Coast,"['Restaurants', 'Seafood Restaurants', 'Fish & Seafood-Wholesale']",15 Broad St,Boston,MA,02109,(617) 426-6001,,
1285,Tavern in the Square,"['Restaurants', 'American Restaurants']",640 Atlantic Ave Train Terminal,Boston,MA,02210,(857) 233-4717,10:00 am - 11:00 pm,
1286,Walrus & Carpenter,"['Restaurants', 'American Restaurants', 'Bars']",200 Faneuil Hall Market Pl,Boston,MA,02109,(617) 742-1530,,36
1287,Slugger's Dugout,"['Restaurants', 'American Restaurants', 'Hamburgers & Hot Dogs']",254 Faneuil Hall Market Pl,Boston,MA,02109,(617) 723-3635,,
1288,Cheers,"['Restaurants', 'American Restaurants', 'Bars']",South  Quincy Market,Boston,MA,02109,(617) 227-0150,11:00 am - 11:00 pm,
1289,wagamama boston faneuil hall,"['Restaurants', 'Japanese Restaurants', 'Beverages']",Quincy Market Building,Boston,MA,02109,(617) 742-9242,11:00 am - 11:00 pm,
1290,Thinking Cup,"['Restaurants', 'American Restaurants', 'Sandwich Shops']",236 Hanover St,Boston,MA,02113,(857) 233-5277,7:00 am - 10:00 pm,5
1291,Spanguolo Cafe,"['Restaurants', 'Italian Restaurants']",240 Hanover St,Boston,MA,02113,(617) 722-8271,,
1292,Lechners Gourmet Restaurant,"['Restaurants', 'Family Style Restaurants']",21 Broad St,Boston,MA,02109,(617) 523-1016,,19
1293,Casa Razdora,"['Restaurants', 'Italian Restaurants', 'Mediterranean Restaurants']",115 Water St,Boston,MA,02109,(617) 338-6700,11:00 am - 4:00 pm,10
1294,Society On High,"['Restaurants', 'American Restaurants', 'Caterers']",99 High St,Boston,MA,02110,(857) 350-4555,11:30 am - 11:00 pm,7
1295,Trattoria Scalinatella,"['Restaurants', 'Italian Restaurants', 'Mediterranean Restaurants']",253 Hanover St,Boston,MA,02113,(617) 742-1276,5:00 pm - 11:00 pm,
1296,Quattro,"['Restaurants', 'Italian Restaurants', 'Mediterranean Restaurants']",266 Hanover St,Boston,MA,02113,(617) 720-0444,11:30 am - 11:00 pm,7
1297,Max's Deli Cafe,"['Restaurants', 'American Restaurants', 'Coffee & Espresso Restaurants']",151 Milk St,Boston,MA,02109,(617) 330-9790,6:00 am - 6:00 pm,18
1298,Bond At The Langham Boston,"['Restaurants', 'American Restaurants']",250 Franklin St,Boston,MA,02110,(617) 956-8765,4:00 pm - 12:00 am,11
1299,Cosi,"['Restaurants', 'Sandwich Shops', 'Coffee & Tea']",53 Hull Street Ct,Boston,MA,02113,(617) 723-4447,,
1300,Country Kitchen,"['Restaurants', 'Home Cooking Restaurants', 'American Restaurants']",105 Crawford St,Dorchester,MA,02121,(617) 822-0500,7:00 am - 11:00 pm,
1301,wagamama,"['Restaurants', 'Japanese Restaurants', 'Beverages']",18 Tremont St,Charlestown,MA,02129,(617) 337-2202,,
1302,The Oceanaire,"['Restaurants', 'Seafood Restaurants', 'Steak Houses']",40 Hull Street Ct,Boston,MA,02113,(617) 742-2277,5:00 pm - 10:00 pm,
1303,Casa Recce Restaurant,"['Restaurants', 'Italian Restaurants', 'Family Style Restaurants']",285 Hanover St,Boston,MA,02113,(617) 248-3839,,1
1304,Lanta Asian Cuisine,"['Restaurants', 'Asian Restaurants', 'Caterers']",38 Batterymarch St,Boston,MA,02110,(617) 482-6046,10:30 am - 9:30 pm,21
1305,Caffe Lil Italy,"['Restaurants', 'Coffee Shops', 'Caterers']",178 Salem St,Boston,MA,02113,(617) 227-1303,7:00 am - 6:30 pm,28
1306,Rock Sugar Thai Cafe,"['Restaurants', 'Thai Restaurants', 'Asian Restaurants']",38 Batterymarch St,Boston,MA,02110,(617) 482-6046,10:30 am - 9:00 pm,
1307,Sfizi Italian Kitchen,"['Restaurants', 'Italian Restaurants']",135 Richmond St,Boston,MA,02109,(857) 350-3105,5:00 pm - 10:00 pm,5
1308,Lucky Rice,"['Restaurants', 'Chinese Restaurants', 'Caterers']",71 Broad St,Boston,MA,02109,(617) 956-0588,11:00 am - 10:00 pm,4
1309,Forcella,"['Restaurants', 'Italian Restaurants']",33 North Sq,Boston,MA,02113,(617) 936-4274,,
1310,Portofino S Italian Kitchen,"['Restaurants', 'Italian Restaurants', 'Greek Restaurants']",73 Broad St,Boston,MA,02109,(617) 451-3816,7:00 am - 3:00 pm,
1311,Siam Bistro,"['Restaurants', 'Thai Restaurants', 'Breakfast, Brunch & Lunch Restaurants']",151 Pearl St,Boston,MA,02110,(617) 210-7953,11:00 am - 9:45 pm,11
1312,China House,"['Restaurants', 'Chinese Restaurants']",331 Hanover St,Boston,MA,02113,(617) 723-9888,11:30 am - 10:00 pm,13
1313,Ted's Montana Grill,"['Restaurants', 'American Restaurants']",265 Franklin St,Boston,MA,02110,(678) 710-9025,,
1314,The Upper Crust Pizzeria,"['Restaurants', 'Pizza', 'Take Out Restaurants']",245 Summer St,Boston,MA,02210,(617) 367-0066,11:00 am - 10:00 pm,
1315,Wagamama Inc,"['Restaurants', 'Asian Restaurants']",200 State St,Boston,MA,02109,(617) 778-2440,,
1316,Attract China,"['Restaurants', 'Chinese Restaurants']",35 India St Fl 5,Boston,MA,02110,(857) 250-2870,,
1317,Ciao Bella,"['Restaurants', 'Italian Restaurants']",5 North Sq,Boston,MA,02113,(617) 829-4975,4:00 pm - 1:00 am,
1318,Sip Cafe,"['Restaurants', 'American Restaurants', 'Caterers']",0 Post Office Sq,Boston,MA,02109,(617) 338-3080,6:30 am - 6:00 pm,10
1319,wagamama,"['Restaurants', 'Japanese Restaurants', 'Beverages']",4 Quincy Market,Boston,MA,02109,(617) 742-9242,11:00 am - 10:00 pm,
1320,Oisa Ramen,"['Restaurants', 'Japanese Restaurants', 'Asian Restaurants']",1 3/4 Broad St,Boston,MA,02109,(617) 670-0126,11:30 am - 9:00 pm,
1321,Speed's Hot Dog,"['Restaurants', 'American Restaurants']",54 Newmarket Sq,Boston,MA,02118,(617) 839-0102,,
1322,Fill Belly's,"['Restaurants', 'Barbecue Restaurants']",3381 Washington St,Jamaica Plain,MA,02130,(617) 477-4813,2:00 pm - 9:00 pm,
1323,Bukhara Indian Bistro,"['Restaurants', 'Indian Restaurants', 'Caterers']",3698 Washington St,Jamaica Plain,MA,02130,(617) 522-2195,5:00 pm - 10:30 pm,
1324,Darwin's Ltd.,"['Restaurants', 'Coffee Shops', 'Breakfast, Brunch & Lunch Restaurants']",1629 Cambridge St,Cambridge,MA,02138,(617) 491-2999,6:30 am - 9:00 pm,72
1325,Anna's Taqueria,"['Restaurants', 'Mexican Restaurants']",242 Cambridge St,Boston,MA,02114,(617) 227-8822,7:00 am - 11:00 pm,25
1326,Molana Restaurant,"['Restaurants', 'Middle Eastern Restaurants', 'Mediterranean Restaurants']",5 Spring St,Watertown,MA,02472,(617) 923-2554,12:00 pm - 12:00 am,21
1327,Finagle A Bagel,"['Restaurants', 'Bagels']",535 Boylston St,Boston,MA,02116,(617) 266-2500,6:00 am - 6:00 pm,38
1328,Black Seed Cafe & Grill,"['Restaurants', 'Mediterranean Restaurants', 'Greek Restaurants']",131 Tremont St,Boston,MA,02111,(617) 338-0024,,23
1329,AK's South Boston,"['Restaurants', 'Pizza', 'Caterers']",309 D St,South Boston,MA,02127,(617) 269-3500,10:00 am - 11:00 pm,15
1330,Cornwall's,"['Restaurants', 'Continental Restaurants', 'Bars']",654 Beacon St,Boston,MA,02215,(617) 262-3749,12:00 pm - 2:00 am,19
1331,Pete's Dockside,"['Restaurants', 'Coffee Shops', 'Take Out Restaurants']",12 Channel St,Boston,MA,02210,(617) 423-1110,6:00 am - 3:00 pm,48
1332,Pure Cold Press,"['Restaurants', 'Health Food Restaurants']",326 Harvard St,Brookline,MA,02446,(617) 487-8948,7:00 am - 9:00 pm,5
1333,Not Your Average Joe's,['Restaurants'],645 Massachusetts Ave,Arlington,MA,02476,(781) 643-1666,11:00 am - 10:00 pm,5
1334,Liquid Art House,"['Restaurants', 'Art Galleries, Dealers & Consultants']",100 Arlington St,Boston,MA,02116,(617) 457-8130,5:00 pm - 12:00 am,
1335,The Merchant,['Restaurants'],60 Franklin St,Boston,MA,02110,(617) 482-6060,11:00 am - 2:00 am,54
1336,Glass House,['Restaurants'],450 Kendall St,Cambridge,MA,02142,(617) 945-9450,11:30 am - 1:00 am,
1337,Lambert's Marketplace,"['Restaurants', 'Delicatessens']",140 Tremont St,Boston,MA,02111,(617) 338-6500,7:00 am - 7:00 pm,14
1338,Crazy Dough's Pizza,"['Restaurants', 'Pizza']",1124 Boylston St,Boston,MA,02215,(617) 266-5656,10:00 am - 11:00 pm,21
1339,Scali Cafe,"['Restaurants', 'Delicatessens', 'Sandwich Shops']",147 Pearl St,Boston,MA,02110,(617) 542-1965,6:00 am - 3:00 pm,36
1340,Central Wharf Co.,['Restaurants'],160 Milk St,Boston,MA,02109,(617) 451-9460,11:00 am - 12:00 am,1
1341,Dunkin',"['Restaurants', 'Donut Shops', 'Bagels']",715 Boylston St,Boston,MA,02116,(617) 267-7153,5:00 am - 12:00 am,26
1342,Sal's Pizza,"['Restaurants', 'Pizza']",132 Brookline Ave,Boston,MA,02215,(617) 536-4444,11:00 am - 9:00 pm,30
1343,Dunkin',"['Restaurants', 'Donut Shops', 'Bagels']",265 Franklin St,Boston,MA,02110,(617) 261-4699,5:30 am - 7:00 pm,20
1344,Hops N Scotch,"['Restaurants', 'Night Clubs', 'Bars']",1306 Beacon St,Brookline,MA,02446,(617) 232-8808,5:00 pm - 1:00 am,7
1345,Teuscher Chocolates Of Switzerland,"['Restaurants', 'Chocolate & Cocoa', 'Candy & Confectionery']",230 Newbury St,Boston,MA,02116,(617) 536-1922,11:00 am - 7:00 pm,24
1346,Andala Coffee House,"['Restaurants', 'Coffee & Tea', 'Coffee Shops']",286 Franklin St,Cambridge,MA,02139,(617) 945-2212,8:00 am - 11:00 pm,11
1347,Loretta's Last Call,"['Restaurants', 'Bars']",1 Lansdowne St,Boston,MA,02215,(617) 421-9595,4:00 pm - 2:00 am,
1348,Avery Bar,"['Restaurants', 'Hotels']",10 Avery St,Boston,MA,02111,(617) 574-7176,6:00 pm - 11:30 pm,
1349,Nespresso,"['Restaurants', 'Coffee & Tea', 'Coffee & Espresso Restaurants']",7 Newbury St,Boston,MA,02116,(617) 266-1219,10:00 am - 7:00 pm,12
1350,Athan's Bakery,"['Restaurants', 'Bakeries', 'Wholesale Bakeries']",407 Washington St,Brighton,MA,02135,(617) 783-0313,8:00 am - 11:00 pm,5
1351,Forge Baking Company,"['Restaurants', 'Bakeries', 'Caterers']",626 Somerville Ave,Somerville,MA,02143,(617) 764-5365,7:00 am - 7:00 pm,6
1352,Blue Dragon,"['Restaurants', 'Chinese Restaurants', 'Seafood Restaurants']",324 A St,Boston,MA,02210,(617) 338-8585,11:30 am - 1:00 am,8
1353,Oak + Rowan,"['Restaurants', 'American Restaurants']",321 A St,Boston,MA,02210,(857) 284-7742,4:30 pm - 12:00 am,4
1354,Perkins Restaurant & Bakery,"['Restaurants', 'American Restaurants', 'Bakeries']",44 Farnsworth St,Boston,MA,02210,(617) 757-7300,9:00 am - 5:00 pm,
1355,Fuji Restaurant,"['Restaurants', 'Japanese Restaurants', 'Family Style Restaurants']",38 Damrell St,South Boston,MA,02127,(617) 399-6228,,
1356,wagamama,"['Restaurants', 'Japanese Restaurants', 'Beverages']",374 Congress St Ste 502,Boston,MA,02210,(617) 778-2440,,
1357,Buy New England Seafood,"['Restaurants', 'Seafood Restaurants', 'Lobsters']",50 Terminal St,Charlestown,MA,02129,(617) 580-8525,,
1358,City Tap,"['Restaurants', 'American Restaurants', 'Caterers']",10 Boston Wharf Rd,Boston,MA,02210,(617) 904-2748,11:30 am - 12:00 am,5
1359,Andrew Square House of Pizza,"['Restaurants', 'Pizza', 'Italian Restaurants']",395 Dorchester St,South Boston,MA,02127,(617) 268-1940,11:00 am - 11:00 pm,36
1360,Las Vegas Seafood Restaurant,"['Restaurants', 'Family Style Restaurants']",6 Maple St,Dorchester,MA,02121,(617) 364-2772,,
1361,Larry J's BBQ Cafe,"['Restaurants', 'Barbecue Restaurants', 'American Restaurants']",600 D St,Boston,MA,02210,(617) 348-9800,11:30 am - 7:00 pm,5
1362,Lola 42,"['Restaurants', 'Sushi Bars', 'Japanese Restaurants']",22 Liberty Dr,Boston,MA,02210,(617) 951-4002,11:30 am - 12:00 am,
1363,Ak's Takeout & Delivery,"['Restaurants', 'Pizza', 'Sandwich Shops']",309 D St,Boston,MA,02127,(617) 269-3500,10:00 am - 11:00 pm,
1364,The Juice Box,"['Restaurants', 'American Restaurants']",359 W Broadway,South Boston,MA,02127,(857) 930-4510,7:30 am - 6:00 pm,4
1365,North Coast Seafood,"['Restaurants', 'Seafood Restaurants', 'Fish & Seafood Markets']",270 W 2nd St,Boston,MA,02127,(617) 345-4442,,10
1366,Tuscan Brands,"['Restaurants', 'Italian Restaurants']",64 Seaport Blvd,Boston,MA,02210,(617) 439-4000,,
1367,YO! Sushi,"['Restaurants', 'Japanese Restaurants', 'Sushi Bars']",79 Seaport Blvd,Boston,MA,02210,(857) 400-0797,11:30 am - 10:00 pm,4
1368,Yoki Express,"['Restaurants', 'Japanese Restaurants', 'Seafood Restaurants']",101 Seaport Blvd,Boston,MA,02210,(857) 263-7418,10:00 am - 10:00 pm,5
1369,Water Cafe,"['Restaurants', 'Coffee Shops', 'American Restaurants']",100 Northern Ave,Boston,MA,02210,(617) 478-3291,10:00 am - 5:00 pm,
1370,wagamama,"['Restaurants', 'Japanese Restaurants', 'Beverages']",100 Northern Ave,Boston,MA,02210,(617) 778-2440,,14
1371,Bukhara Restaurant,"['Restaurants', 'Family Style Restaurants']",3698 Washington St,Jamaica Plain,MA,02130,(617) 522-2195,,
1372,Wan Kam Li Dba,"['Restaurants', 'Seafood Restaurants']",3704 Washington St,Jamaica Plain,MA,02130,(617) 524-1551,3:00 pm - 12:30 am,39
1373,Oriental House,"['Restaurants', 'Asian Restaurants', 'Chinese Restaurants']",3704 Washington St,Jamaica Plain,MA,02130,(617) 983-1388,,6
1374,Ocean Prime,"['Restaurants', 'Barbecue Restaurants', 'Steak Houses']",100 Pier 4 Blvd,Boston,MA,02210,(617) 670-0986,11:30 am - 11:00 pm,
1375,Cafe Arpeggio,"['Restaurants', 'Coffee Shops', 'American Restaurants']",398 W Broadway,South Boston,MA,02127,(617) 269-8822,6:00 am - 10:00 pm,9
1376,Brassica Kitchen,"['Restaurants', 'American Restaurants', 'French Restaurants']",3710 Washington St,Jamaica Plain,MA,02130,(617) 477-4519,6:00 am - 4:00 pm,4
1377,Morton's,"['Restaurants', 'Steak Houses']",2 World Trade Center Ave,Boston,MA,02210,(617) 526-0410,11:30 am - 11:00 pm,
1378,Loco South Boston,"['Restaurants', 'Mexican Restaurants', 'Caterers']",412 W Broadway,South Boston,MA,02127,(617) 315-7179,5:00 pm - 1:00 am,5
1379,Loco Taqueria & Oyster Bar,"['Restaurants', 'Seafood Restaurants', 'Bars']",412 W Broadway,South Boston,MA,02127,(617) 917-5626,5:00 am - 12:00 am,5
1380,Broadway Restaurant,"['Restaurants', 'Family Style Restaurants']",412 W Broadway,South Boston,MA,02127,(617) 765-8660,,
1381,The Whiskey Priest,"['Restaurants', 'Irish Restaurants', 'Bars']",150 Northern Ave,Boston,MA,02210,(617) 426-8111,11:30 am - 11:30 pm,24
1382,Marco Polo Restaurant,"['Restaurants', 'Asian Restaurants', 'Chinese Restaurants']",414 W Broadway,South Boston,MA,02127,(617) 268-2821,6:00 am - 3:00 pm,20
1383,Lucky Dragon,"['Restaurants', 'Chinese Restaurants', 'Asian Restaurants']",414 W Broadway,South Boston,MA,02127,(617) 479-6966,,
1384,Reelhouse,"['Restaurants', 'American Restaurants', 'Bars']",6 New St,East Boston,MA,02128,(617) 895-4075,11:00 am - 10:00 pm,2
1385,South Boston Chinese Restaurant,"['Restaurants', 'Chinese Restaurants', 'Asian Restaurants']",429 W Broadway,South Boston,MA,02127,(617) 269-1970,10:30 am - 2:00 am,34
1386,wagamama,"['Restaurants', 'Japanese Restaurants', 'Beverages']",250 Quincy St,Boston,MA,02109,(617) 742-9242,,
1387,Fuddruckers,"['Restaurants', 'American Restaurants', 'Take Out Restaurants']",18 Logan Way,South Boston,MA,02127,(713) 329-6800,,10
1388,443 W Broadway,"['Restaurants', 'Italian Restaurants']",443 W Broadway,South Boston,MA,02127,(617) 765-8498,,
1389,Capo Restaurant,"['Restaurants', 'Italian Restaurants', 'Bars']",443 W Broadway,South Boston,MA,02127,(617) 993-8080,5:00 pm - 1:00 am,4
1390,Boston Pizza Grill,"['Restaurants', 'Pizza', 'Caterers']",535 Columbia Rd,Dorchester,MA,02125,(617) 265-2222,10:00 am - 12:00 am,6
1391,Canton House,"['Restaurants', 'Chinese Restaurants', 'Take Out Restaurants']",6 Hancock St,Dorchester,MA,02125,(617) 288-3825,11:30 am - 12:00 am,41
1392,Stephi's In Southie,"['Restaurants', 'American Restaurants']",130 Dorchester St,South Boston,MA,02127,(617) 345-5495,11:30 am - 2:00 am,
1393,San Carlos Restaurant,"['Restaurants', 'Family Style Restaurants', 'Mexican Restaurants']",14 Hancock St,Dorchester,MA,02125,(617) 514-3590,,
1394,Nanning Wok,"['Restaurants', 'Chinese Restaurants', 'Asian Restaurants']",465 W Broadway,South Boston,MA,02127,(617) 269-4688,11:00 am - 2:00 am,25
1395,Fresh City,"['Restaurants', 'American Restaurants']",2 Seaport Ln,Boston,MA,02210,(617) 443-0962,6:30 am - 4:00 pm,
1396,Fat Baby Sushi & Cocktails,"['Restaurants', 'Sushi Bars', 'Japanese Restaurants']",118 Dorchester St,South Boston,MA,02127,(617) 766-3450,5:00 pm - 1:00 am,
1397,Dparma Restaurant,"['Restaurants', 'Italian Restaurants', 'Fine Dining Restaurants']",182 Sumner St,East Boston,MA,02128,(617) 567-9670,10:00 am - 2:00 am,12
1398,Sapore Ristorante & Bar,"['Restaurants', 'Italian Restaurants', 'Fine Dining Restaurants']",606 Congress St,Boston,MA,02210,(617) 476-5606,6:30 am - 10:00 pm,4
1399,Publico,"['Restaurants', 'American Restaurants', 'Latin American Restaurants']",11 Dorchester St,South Boston,MA,02127,(617) 622-5700,4:00 pm - 12:00 am,3
1400,Great Eastern Seafood,"['Restaurants', 'Seafood Restaurants', 'Fish & Seafood-Wholesale']",6 Fish Pier,Boston,MA,02210,(617) 428-9400,7:00 am - 5:00 pm,38
1401,Hong Kong Harbor Restaurant,"['Restaurants', 'Chinese Restaurants', 'Seafood Restaurants']",5 Maverick Sq,East Boston,MA,02128,(617) 569-3855,11:30 am - 2:00 am,35
1402,Tirrell Seafood and Shellfish,"['Restaurants', 'Seafood Restaurants', 'Fish & Seafood-Wholesale']",24 Fish Pier,Boston,MA,02210,(617) 261-3936,,
1403,El Rinconcito Restaurante,"['Restaurants', 'Family Style Restaurants']",226 Sumner St,Boston,MA,02128,(617) 568-0028,,
1404,Fish Pier Restaurant,"['Restaurants', 'Family Style Restaurants']",512 E Broadway,South Boston,MA,02127,(617) 269-2111,11:00 am - 9:30 pm,
1405,Cactus Mexican Grill,"['Restaurants', 'Mexican Restaurants', 'Latin American Restaurants']",44 Maverick Sq,East Boston,MA,02128,(617) 561-2800,7:00 am - 11:00 pm,13
1406,Gyu-Kaku,"['Restaurants', 'Japanese Restaurants', 'Asian Restaurants']",23 District Ave,Dorchester,MA,02125,(857) 309-3827,,1
